,document,expertise
0,Shape and shepherd and ship and and show technical programs designed to support the work of Cloud Customer Engineers and Solutions Architects. Measure and report on key metrics tied to those programs to identify any need to change course and cancel and or scale the programs from a regional to global platform. Communicate status and identify any obstacles and paths for resolution to stakeholders and including those in senior roles and in a transparent and regular and professional and timely manner. Establish expectations and rationale on deliverables for stakeholders and program contributors. Provide program performance feedback to teams in Product and Engineering and Sales and and Marketing (among others) to enable efficient cross-team operations.,"Ability to work under pressure and possess flexibility with changing needs and direction in a rapidlygrowing organization, Strong organization and communication skills"
1,Drive cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into mass production. Collaborate with suppliers and Engineering teams in assessing process technologies based on project requirements and and propose and develop the manufacturing blueprint including process flow and equipment/fixture designs and implementation schedules and validation plans for engineering builds and mass production. Drive project technical and operational issues with material and process and fixtures and equipment and etc. during the NPI phase to enable delivery of a mature product and manufacturing process into mass production. Support/drive continuous improvement efforts in the supply chain. Lead suppliers by providing technical direction to establish and validate (utilizing statistical tools) process capability during the NPI phase for consistently delivering a quality product in mass production. Utilize DOE’s and FMEA and other Industry standard tools to proactively identify and address risks and optimize process parameters.,"Experience of using Statistics tools for Data analysis and e.g. distribution histogram/pareto chart and process control chart and Design of Experiment (DOE) and Correlation Analysis and etc, Self starter with innovation and integrity and attention to detail, Ability to travel up to % of the time"
2,Collect and analyze data to draw insight and identify strategic solutions. Build consensus by facilitating broad collaboration with clear communication and documentation. Work with cross-functional stakeholders to gather requirements and manage implementation and and drive delivery of projects.,"Experience partnering or consulting crossfunctionally with senior stakeholders, Strong presentation and communication skills with the ability to communicate statistical concepts and explain recommendations to nonexperts"
3,Work one-on-one with the top Android and iOS and and web engineers to build exciting new product/API integrations that drive adoption of Google’s developer platforms. Conceive new features and ideas that can change how users interact with apps and Google and and help developers build them. Conduct regular and engineering-focused meetings with developers to help them design new systems and fix bugs and improve UX and and solve complex code issues. Work on the source code of Google's products with other engineers to identify and reproduce and and/or fix bugs that are affecting developers.,"Experience as a software developer and architect and technology advocate and CTO and or consultant working with web or mobile technologies, Experience working with third parties, Experience interacting with clients or internal stakeholders, Knowledge of web application or mobile application development landscapes"
4,Plan requirements with internal customers. Provide portfolio reports and forecasts to Regional Service Delivery Manager. Manage vendor PM services to usher projects through the entire lifecycle. Plan finances and tracking across a portfolio of projects. Ensure that any changes in scope and schedule or cost are managed in accordance with the agreed change order procedures. Interface with cross functional stakeholders to understand and communicate program strategy and priorities. Ensure project closure processes are completed - including handover to support. Help to validate new and improve existing products by partnering with AV Eng teams. Set operational goals and lead ongoing process and program improvement initiatives.,"CTS Certification, Experience in the construction sector, Excellent interpersonal and relationship building skills across multiple stakeholders at varying levels"
5,Communicate with customers via phone and email. Provide strategic advice and consultation to help our advertisers get the best experience from our advertising products. Implement creative ways to improve customer relationships. Tailor and share online marketing strategy suggestions. Work towards strategic goals and while prioritizing and delivering an outstanding customer experience to Google's advertisers.,"Experience with leading and motivating and working effectively within a team, Ability to work towards strategic goals, Effective organizational skills and with the ability to work independently and proactively"
6,Manage cross-functional activities in the supply chain for overall Technical Operational readiness in all NPI phases leading into Mass Production. Collaborate with Suppliers and Engineering teams in assessing process technologies based on project requirements and propose and develop manufacturing blueprint including process flow and equipment/fixture designs and implementation schedules and more. Manage project technical and operational issues regarding material and process and fixtures and equipment and etc and during NPI phase. Utilize DOE’s and FMEA and other industry standard tools to proactively identify and address risks and optimize process parameters.,"Experience in the development of camera module integration processes or other related industries, Knowledge of Quality and Statistical tools and methods, Selfstarter with innovation and integrity and attention to details"
8,Develop CM/ODM strategy and implement supplier management processes with critical partners. Lead the creation and implementation of RFX processes for sourcing needs. Manage the agreement creation process with the cross-functional program needs in mind. Manage assigned manufacturing partner to program requirements in cost and quality and schedule and technology areas. Perform periodic cost improvement ideas in terms of DFM or alternative technology choices.,"Experience in procurement and supply chain, Ability to establish impactful partnerships and interpret legal documents and work with the Legal team to complete agreements, Willingness to travel in Asia % of the time and for extended periods as required"
10,Build and maintain the Support Operations Analytics infrastructure. Customize and maintain tools to provide insights and visibility into key strategic and operational performance of the organization. Define and action analysis on operational data sets to provide strategic recommendations to multiple levels of leadership; package analysis for reports and presentations to shape strategic and operational decisions. Draw insights from analyzing data to improve Support Operations quality and efficiency. Contribute to strategic planning around product launches.,"Experience in designing and executing structured analysis and deriving business insights and and evaluating the impact of business decisions, Experience working with and developing for nontechnical users (defining requirements and explaining technical concepts to nontechnical business users and etc), Experience with scripting languages and business intelligence tools, Demonstrated ability to analyze complex datasets in a fastpaced environment and with the ability to work strategically and objectively"
11,Serve as point of contact for Partners and manage consistent and operationally efficient “Partner first” business practices to onboard and support our partners through their partnership lifecycle. Understand and propose the necessary systems and process changes to reduce friction for our partners and Sales teams. Contribute to the development of existing and future state Partner Onboarding activities and initiatives that develop ongoing touch points with Partners to increase their success with Google Cloud. Promote new initiatives and offers proactively to our partners in a scalable fashion that energizes our partner ecosystem.,Ability to collaborate and build relationships with individuals of varying levels of experience and department functions
